unit_buy,unit_sell,same,npair,v_out
批,PCS,0,67,89629379.19760485
米,件,0,450,89478170.96366571
桶,吨,0,171,89017562.77764648
支,台,0,724,88899788.96036813
EA,辆,0,16,88597335.39
只,双,0,27,88354553.07361872
片,PCS,0,161,88238745.01898313
km,KM,0,16,87999898.22644532
张,只,0,191,87737763.91974333
公斤,箱,0,153,87717608.76419434
条,根,0,326,87546437.66448213
标准吨,标准吨,1,1,87334200
片,台,0,301,87324076.34982423
粒,只,0,18,86885488.12453125
个,箱,0,393,86815912.56016074
副,副,1,295,86701561.43823299
米,千克,0,166,86015109.00111675
米,百米,0,10,85685014.01390655
KG,个,0,293,85581054.81700572
千件,千件,1,62,85383427.55909003
套,千瓦时,0,10,84640685.46929687
公斤,盒,0,116,84470936.56399721
月,项,0,64,83924246.97218752
方,m3,0,10,83319571.9524999
箱,吨,0,50,83274363.71517824
立方米,吨,0,87,83133107.83751893
瓶,桶,0,305,82062331.37050711
PCS,件,0,170,81906767.82829262
平方米,PCS,0,39,81801885.11548464
张,套,0,316,81697345.82792303
套,EA,0,248,81620395.54683521
个,PC,0,260,81560848.6829714
克,块,0,1,81045875.12
项,吨,0,30,81006638.10187501
平方,平方,1,171,80715842.30184571
吨,标准立方米,0,2,80706913.03
张,立方米,0,44,80659503.42492187
次,份,0,14,80439272.88195291
千千瓦时,兆瓦时,0,1,79953418.40000001
kwh,KWH,0,9,79832078.58875
米,m,0,191,78598115.18499787
件,千克,0,148,78540273.45333008
件,PC,0,130,78224831.52092528
条,台,0,213,77882596.24080017
BOT,瓶,0,2,77870759.29000001
千米,米,0,97,77861042.06943846
SET,SET,1,18,76615086.47955497
次,台,0,80,76547229.69410521
吨,卷,0,107,76530699.30972046
升,桶,0,295,76434413.06484985
罐,桶,0,83,75979123.15351075
PAC,支,0,1,75791248
千千瓦时,万度,0,1,75656688
W,w,0,1,75622650
票,吨,0,10,75319111.82000001
UNKNOWN,部,0,16,75055586.48
kg,片,0,47,74396970.17437576
只,根,0,383,73944190.95719294
个,颗,0,43,73534764.91752861
kg,批,0,85,73454900.73008788
公斤,张,0,129,73433334.69045898
套,付,0,168,73211849.3470311
EA,件,0,160,73062459.36202103
箱,KG,0,96,73026200.49017821
包,箱,0,283,72924466.44226164
块,片,0,67,72557492.78135376
吨,㎡,0,54,72178728.29973878
根,套,0,287,72065385.23495564
具,个,0,88,72009234.38316895
袋,箱,0,153,71928494.38121194
TAI,台,0,11,71725039.21726075
件,次,0,56,71661876.80561279
支,只,0,816,71511275.60517798
kg,UNKNOWN,0,161,71376474.63138442
箱,kg,0,117,71301736.57069588
台,吨,0,152,71278657.27003905
套,PCS,0,262,71127326.74241237
重量箱,平方米,0,4,70903723.07125001
UNKNOWN,宗,0,12,70789691.64749999
箱,提,0,92,70518179.11278687
件,吨,0,139,70023678.30236332
PCS,辆,0,8,69914903.22499999
吨(MT),箱,0,4,69533568.49921875
吨,公升,0,20,69424567.31016602
条,米,0,348,69403084.14354126
套,盘,0,63,68705729.80283692
块,台,0,468,68701065.21155968
UNKNOWN,箱,0,92,68450851.79483572
EA,口,0,3,68067245.21875
次,月,0,90,68061247.50524171
PC,EA,0,11,67811350.08860062
个,千克,0,369,67781328.28826876
次,批,0,83,67436230.97699219
平方,只,0,76,67419263.25389892
pcs,件,0,48,67021863.16441102
支,PCS,0,128,66889475.85567944
UNKNOWN,平方米,0,53,66751017.72624999
km,km,1,13,66457836.46851543
CAR,箱,0,25,65961966.75875001
万只,个,0,22,65922142.5809082
卷,个,0,547,65775272.93893972
PC,件,0,56,65264068.22605239
套,片,0,159,64732909.11368461
套,副,0,93,64375465.92057617
kW.h,KW.H,0,1,64125084.26171875
盒,套,0,208,63829121.78392457
kg,只,0,239,63418062.65341167
袋,盒,0,221,63206140.48913653
方,立方,0,10,63115122.68
立方米,平方米,0,35,63090312.49703126
千件,只,0,116,63036738.83717589
件,提,0,87,63026147.62214202
支,箱,0,109,62971565.8639911
吨,EA,0,46,62629702.89050781
KM,KM,1,57,62484514.40746584
kW·h,度,0,27,62450048.38288086
吨,风干吨,0,1,62256766
只,批,0,342,62142891.32083617
