product_id,v_prod,n_units,dom_unit,dom_share,千克,个,UNKNOWN,套,立方米,千瓦时,千米,OTHER,箱,项,盒,次,平方米,批,瓶,月,包,瓦,袋,桶,笔,份,元,副,卷,单,罐,期,票,车,令,伏安
108040101,4.86613e+10,29,千克,0.5871,2.85674e+10,5.25251e+09,5.59992e+09,2.3278e+09,1.46175e+07,2.91791e+06,7.53942e+08,6.69727e+08,2.11272e+06,4.5142e+08,2.26873e+06,4.2991e+06,1.27471e+09,3.376e+09,106256,1.52654e+06,1.20323e+06,2.26955e+08,1.42137e+06,502711,43833,268232,105948,6.80823e+07,1.31453e+06,,235008,5.98764e+07,,6080,70.2,
108020600,4.80625e+10,20,千克,0.9867,4.74254e+10,4.92577e+08,5.24214e+07,6.69202e+07,22400,,7.27342e+06,5.98897e+06,88685,2.03512e+06,57067.8,300,1.10039e+06,5.21535e+06,649690,,21972,,8210.25,38070,,,,2.66364e+06,31002.7,,170,,,,,
107010301,4.66112e+10,15,千克,0.9967,4.64567e+10,921809,1.49166e+08,166467,496163,,116100,45320.3,3.44211e+06,,1760,1880,,,183212,,440,,1317.5,9679.5,,,,,7888,,,,,,,
102020101,4.40626e+10,22,千克,0.9965,4.39093e+10,5.29714e+06,6.85088e+06,3.53238e+06,9.98394e+07,370027,452578,1.68745e+07,235687,,32495.4,6346,1.0454e+06,123886,2.29802e+06,128115,12428,,8081.48,1.55994e+07,,100,,208015,345138,,36214.4,,,,,
107020202,4.32025e+10,19,千克,0.9976,4.31004e+10,1.75765e+06,1.64558e+07,160211,2.28568e+06,307239,110370,7.12701e+07,75380,,27462,800.01,97985,188675,4.3506e+06,,1120,,120,4.91493e+06,,,,,18,,101287,,,,,
106010504,4.03248e+10,25,箱,0.5139,3.97942e+08,9.25912e+09,8.08339e+07,9.25699e+07,,,2.83722e+07,1.67626e+09,2.07239e+10,5119.3,9.17767e+07,95109,127713,2.90205e+07,5.23718e+06,26962,5.39727e+09,,2.48007e+09,986823,,648528,8618.5,64384.3,2.19802e+07,44.8,3.84342e+07,1150,,,19807,
304990000,4.00384e+10,30,UNKNOWN,0.7100,7.06984e+08,2.04682e+09,2.84281e+10,1.68724e+08,2.66342e+07,1.29514e+07,8.32288e+07,5.96495e+08,8.62463e+07,2.09518e+09,182195,2.67094e+09,4.00528e+07,5.50848e+08,66290.6,9.51345e+08,3.76857e+06,738078,8176.31,113180,3.8525e+08,9.49514e+08,1.15594e+08,59239,622057,1.5555e+07,513750,5.71431e+07,4.13118e+07,3.44361e+06,,
109990000,3.94424e+10,29,个,0.5892,2.30236e+09,2.32379e+10,1.88736e+09,9.14333e+09,5.34191e+07,6.61616e+06,5.42493e+08,5.98523e+08,2.37473e+07,2.32475e+08,2.08444e+07,4.48417e+07,1.23339e+08,7.50027e+08,2.17775e+07,3.32369e+07,6.03916e+06,1.5459e+08,1.3076e+06,3.85506e+07,1.02203e+07,828073,755930,1.7368e+08,3.13778e+07,236700,1.24026e+06,12564.2,,1.23433e+06,,
107010199,3.89445e+10,25,千克,0.9755,3.79902e+10,1.49552e+08,1.35661e+08,1.78535e+07,1.54426e+08,1.3099e+07,2.34682e+06,7.0511e+07,5.84156e+06,396783,479598,87117.2,1.32121e+07,729688,9.61903e+07,,493172,,16226.9,2.68216e+08,,480,1000,42444,8.24433e+06,32787.8,1.66683e+07,,113850,,,
108031501,3.8884e+10,22,千克,0.9744,3.78886e+10,6.97192e+08,9.18909e+07,2.23099e+07,56601.8,,9.23372e+07,2.73063e+07,899205,710363,32099.5,62668.1,2.61629e+07,2.52219e+07,27041.9,,93562.9,,262,40311.8,47237,,1200,2.10038e+06,8.82648e+06,2450,,,,,,
108020709,3.86961e+10,17,千克,0.9641,3.73069e+10,1.21375e+09,8.6815e+07,2.0811e+07,,2.85797e+06,1.83372e+07,2.40992e+07,1700,133956,2796,55280,1.8187e+07,3.25978e+06,,,6192,,,,,,,577750,311500,,,,,3620,,
110010101,3.8638e+10,25,千瓦时,0.6427,2.03056e+09,2.82207e+09,1.01544e+09,7.88338e+08,6.4786e+06,2.4832e+10,9.72488e+07,5.06145e+09,168263,1.03101e+07,77074.6,881922,1.10435e+07,2.8372e+07,417995,2.92702e+06,143369,1.92185e+09,58650.2,2.79138e+06,2028,,,2.28126e+06,3.01188e+06,,13569.8,,,,,1100
108031601,3.77372e+10,25,千克,0.8830,3.33231e+10,1.93477e+09,1.04532e+08,2.89765e+08,180546,,1.88973e+08,7.15092e+07,7.52535e+06,5.24989e+06,988519,452273,1.73957e+09,4.16425e+07,9776.52,10600,2.19729e+06,9.43384e+06,175549,78806,200064,,399625,8.32849e+06,8.11919e+06,,139.99,,,199.94,,
108020706,3.76227e+10,18,千克,0.9926,3.73457e+10,1.58499e+08,2.58906e+07,1.31916e+07,,,3.69809e+07,1.76392e+07,3.11079e+06,126921,23910.5,11190,1.34236e+07,6.19022e+06,683.23,,11701.3,,,,,,88800.9,72855.5,1.70383e+06,,,,,1800,,
103010501,3.75078e+10,20,千克,0.7516,2.81927e+10,6.40303e+08,2.22409e+08,3.59296e+07,2.21232e+06,,45,4.13249e+08,4.49862e+09,1084.2,1.06655e+08,21351.4,,1.50306e+07,2.17286e+09,,2.25028e+07,,8.13438e+06,1.1472e+09,,2.83684e+06,,27757,17306.8,,2.70463e+07,,,,,
107060201,3.69725e+10,23,千克,0.9923,3.66875e+10,1.20053e+08,2.49117e+07,3.64198e+07,4.15067e+06,221097,2.02483e+07,4.31385e+07,1.00523e+06,,1.38229e+06,72103.9,1.42393e+07,6.50401e+06,318307,,3.31536e+06,,978039,767900,,4.78994e+06,,208211,1.85472e+06,,252698,,53374.1,76200,,
305020000,3.45596e+10,29,UNKNOWN,0.6757,1.58884e+08,8.60702e+08,2.33511e+10,3.26159e+08,3.41207e+07,143627,4.25192e+07,3.9803e+08,110430,6.94168e+09,5409.2,1.1591e+09,1.85513e+08,6.47522e+08,101039,8.45712e+07,15389.2,6.7397e+06,14.94,102367,7.21859e+07,3.16894e+06,2.52595e+08,147806,1.331e+06,7.71222e+06,,2.53108e+07,24480,40452.8,,
108049900,3.40546e+10,28,个,0.4514,1.28034e+10,1.53714e+10,6.32024e+08,2.51939e+09,1.24563e+07,5.64969e+06,8.13414e+08,3.99722e+08,6.98615e+06,3.09965e+07,7.86775e+06,3.90646e+06,7.92115e+08,4.80273e+08,1.11276e+06,888478,1.33077e+07,3.87587e+07,2.72766e+06,1.23699e+06,1.381e+06,43494.6,468395,1.00111e+08,1.45818e+07,224804,109579,,,53502,,
108020704,3.39649e+10,21,千克,0.9877,3.35476e+10,1.92721e+08,1.6117e+08,1.66858e+07,9.02935e+06,,1.35582e+07,1.51425e+07,28620,105446,20345.7,5725,330704,3.55974e+06,10574.7,,17848.5,,243497,2980.48,,,4.02771e+06,646434,2113.44,,,,,900,,
107020209,3.39541e+10,13,千克,0.9976,3.38738e+10,196643,5.93752e+07,89816,9.96046e+06,,,2.55119e+06,228826,,5539.58,,,,3.81715e+06,,1250,,10.56,4.13579e+06,,,,,,,19134,,,,,
107020217,3.38431e+10,11,千克,0.9957,3.36977e+10,790112,1.04095e+08,73392,2.3382e+06,,,3.41235e+07,304319,,,,22938,,372906,,,,,1.43619e+06,,,,,,,1.8056e+06,,,,,
307040200,3.30545e+10,21,UNKNOWN,0.8575,25529.5,6.99179e+07,2.83427e+10,7.1262e+06,,277482,180000,3.25885e+09,46000,1.0325e+08,,6.86535e+08,1.44149e+06,5.87008e+07,25846.4,1.80087e+08,30983.6,,,270000,5.54475e+07,4.21133e+06,2.84769e+08,,,380096,,222239,,,,
108031101,3.0808e+10,13,千克,0.9868,3.04023e+10,3.17524e+08,4.77269e+07,1.5682e+07,,,68866,2.43145e+07,,,6170,2436,,288333,90400,,326.33,,,,64133,,3400,,,,,,,,,
109040904,3.02649e+10,24,千米,0.5970,2.83746e+08,1.15513e+09,9.86458e+09,9.60929e+07,15840,5.57734e+06,1.80674e+10,3.21041e+08,1.7699e+08,2.1701e+06,127316,8830,146607,1.60902e+08,3909.25,50000,1.08629e+06,2.60306e+06,6262.75,72398.3,,,94584,888790,1.2614e+08,14109.9,,,,,,
107029999,3.02471e+10,25,千克,0.9327,2.8212e+10,3.38234e+08,3.47643e+07,5.77152e+07,3.63971e+08,2564.64,3.90484e+07,1.46772e+08,2.26054e+08,940153,5.8979e+07,533229,1.96374e+08,1.05731e+07,2.16693e+08,3.32641e+07,1.57067e+07,,8.88896e+06,2.33262e+08,,219548,,1.10754e+06,3.23542e+07,,1.969e+07,,1800,24500,,
102020200,2.95431e+10,19,立方米,0.9367,6.35396e+08,7.93639e+06,3.82077e+08,45580,2.76723e+10,6.69081e+08,60510.4,1.49513e+08,9600,7.96494e+06,,59788.1,508325,255588,8.41248e+06,2.37361e+06,,,,71445,,,281040,,,,6.70515e+06,22548.4,,,,
109041401,2.75956e+10,16,个,0.9960,33006.1,2.74847e+10,5.04257e+07,5.84223e+06,29511.9,,37730,4.62418e+07,156380,4.33168e+06,600,,,2.30221e+06,20890.8,,,,1.1801e+06,,,291278,,180,,,3366.27,,,,,
102030200,2.75654e+10,19,千克,0.9861,2.71823e+10,8.08355e+06,2.92659e+08,262075,8.44303e+06,,1.74547e+06,7.06948e+07,15805,,20051,1340,89554.7,151205,28540,750000,23954,,13109.2,14669,,,,1070,183616,,,,,,,
304030301,2.74277e+10,26,UNKNOWN,0.6288,3.95916e+06,1.65649e+09,1.7246e+10,4.24475e+07,14425,,1.2734e+06,1.1043e+09,27665,1.6221e+09,439735,3.05869e+09,3.66392e+07,1.03445e+08,625.74,4.48461e+08,619445,,362,332.7,1.80402e+09,1.29841e+07,2.67879e+07,78006.6,988282,9.78312e+06,,2.47747e+08,391399,,,
104010105,2.73944e+10,23,千米,0.8017,4.07759e+09,5.5924e+08,6.08302e+07,6.4859e+07,13106,5.84059e+06,2.19618e+10,3.20431e+08,9.3989e+06,192005,1.38254e+07,631013,2.56016e+08,1.37193e+07,315071,,2.48074e+07,,3.11643e+06,329076,7949.44,208145,,7.84207e+06,1.33322e+07,,1200,,,,,
109041801,2.7208e+10,14,个,0.9704,2.13796e+07,2.64018e+10,6.65491e+08,2.70004e+06,,,1045,1.07609e+08,1.63382e+06,20919.6,72.42,,,6.67992e+06,37590.5,,706.37,,79986.3,,,561802,,,,,,,,,,
304020101,2.71782e+10,19,UNKNOWN,0.8563,405555,2.4728e+08,2.32732e+10,6.72895e+08,,,1.8393e+06,7.35835e+07,1300,7.56724e+08,100,5.41585e+08,,4.23092e+07,,1.5297e+09,57750,,,,7.74557e+06,4.06323e+06,9.96285e+06,,2384,825000,,1.60159e+07,,,,
103040201,2.68135e+10,18,个,0.9942,413395,2.66586e+10,8.79561e+07,21514,,,1180,1.08128e+07,1.49425e+07,,1.07026e+07,4683.12,3296,2.60261e+07,63798.3,,3.48456e+06,,462910,30,,37184.3,,33.97,114,,,,,,,
304020300,2.68039e+10,25,UNKNOWN,0.6976,3.48146e+06,4.61148e+08,1.86992e+10,4.35885e+08,28000,,320363,8.08618e+08,46140,2.42765e+09,770,2.22491e+09,1.07152e+06,3.66407e+08,13660,9.48713e+08,49020,,,,1.12325e+08,1.03363e+07,9.31555e+07,5000,455253,3.99131e+06,,2.06076e+08,32883,65600,,
104010102,2.58064e+10,24,千克,0.9682,2.49862e+10,4.50021e+08,3.60907e+07,1.01945e+07,165790,1.75074e+06,2.63387e+08,2.19038e+07,840150,82.4,1.8457e+06,14697.5,1.44571e+07,1.81413e+06,667557,,6.61187e+06,,148443,55032.5,2600,,,5.17096e+06,4.95834e+06,6000,607.5,,,73150,,
301010201,2.56144e+10,18,UNKNOWN,0.9277,1.46873e+09,1.75206e+08,2.37629e+10,2.2917e+07,2.7477e+07,,563678,2.75672e+07,1.18435e+07,2.4659e+06,,3.85256e+07,28730,2.24348e+07,,4.14978e+06,,,161921,8231.15,,,2.35153e+06,,,,,,1.2283e+07,3.4735e+07,,
107010111,2.5331e+10,20,千克,0.9876,2.50181e+10,3.5796e+06,1.03972e+08,428573,3.10008e+07,,221057,3.59279e+07,2.32932e+06,3000,40819.6,440,1.68418e+06,1.00598e+06,1.18376e+08,,8136.9,,7830.8,8.31701e+06,,,,,4314.4,,6.00026e+06,,,3915,,
109051299,2.4689e+10,28,个,0.8924,7.91843e+07,2.2033e+10,2.45838e+08,1.49365e+09,1.05712e+06,3.76583e+06,1.9286e+07,2.13375e+08,4.83118e+07,4.57865e+07,8.52343e+07,3.04506e+06,5.64586e+07,1.37747e+08,4.203e+07,2.21478e+06,7.70128e+06,,2.68403e+06,301624,724484,502171,34676,1.65994e+06,1.64963e+08,,87856.5,177002,400,,119717,
108031401,2.41703e+10,21,千克,0.9247,2.23511e+10,1.09981e+09,7.2844e+07,6.24262e+07,88237.9,,1.98447e+08,1.80791e+08,225505,55466.2,93076,144029,1.58577e+08,2.50525e+07,67204.8,,89909.2,8.5988e+06,106400,326460,,5400,,8.39637e+06,3.03778e+06,,,,,,,
102019900,2.16787e+10,22,千克,0.9823,2.12955e+10,2.54941e+07,3.38878e+08,9.99138e+06,1.31951e+06,805787,645917,889887,227761,234850,38548.6,200,423132,180790,270798,,1.52954e+06,,13440,409289,,,,1692,3940,,540,,,1.9005e+06,,
109051908,2.13424e+10,26,个,0.6130,5.12513e+09,1.30829e+10,3.08564e+08,9.18405e+08,34010,70464.9,6.04351e+07,2.77843e+08,346648,7.76453e+06,2.76263e+06,4.21254e+06,7.67101e+08,1.41547e+08,476589,881400,1.12074e+06,5.53269e+08,238445,9281.6,1.21856e+06,,452906,1.51826e+07,7.24899e+07,,507.1,,,,4025,
108020711,2.1245e+10,17,千克,0.9899,2.10302e+10,1.29719e+08,3.61924e+06,6.61984e+06,29400,,3.87058e+07,6.27912e+06,98.6,390365,5800,,2.80056e+07,422252,,,620,,17,1240,,,,245482,749876,,,,,,,
101010401,2.11225e+10,20,千克,0.9962,2.10419e+10,1.64689e+07,1.92006e+07,210600,506320,,363373,3.27164e+06,7.14094e+06,1520,3.02363e+06,528105,,2.02145e+06,2.57577e+06,21290,918325,,1.60883e+07,7.83466e+06,,352.01,,,,,363177,,,,4800,
