product_id,unit_std,dimension,nrec,value,share,qty_std,v_prod
106020300,份,SERVICE,15,494145.1960945129,.0016604928455554,1156844,297589476.1709867
106020300,袋,CONTAINER,8,177393.4299609661,.0005961011533185,12723.14001464844,297589476.1709867
106020300,令,CONTAINER,3,48067.7998046875,.0001615238563647,220.8140029907227,297589476.1709867
106020300,副,SET,4,43642,.0001466516913217,9510,297589476.1709867
106020300,次,SERVICE,9,40341.76000976563,.0001355617830605,138,297589476.1709867
106020300,项,SERVICE,3,5687.68994140625,.0000191125372261,23,297589476.1709867
106020300,期,SERVICE,1,2200,7.39273454259e-06,2,297589476.1709867
106020401,个,COUNT,90,4853911.97177124,.8713051206314053,48418.25,5570852.112350464
106020401,套,SET,7,504978,.0906464558411942,53527,5570852.112350464
106020401,UNKNOWN,UNKNOWN,4,138581.400390625,.024876158547342,539,5570852.112350464
106020401,OTHER,OTHER,4,39555,.0071003500366322,694,5570852.112350464
106020401,副,SET,1,15000,.0026925862861707,10000,5570852.112350464
106020401,平方米,AREA,1,8498.7001953125,.0015255655730783,619.97998046875,5570852.112350464
106020401,箱,CONTAINER,1,5600,.0010052322135037,14,5570852.112350464
106020401,盒,CONTAINER,4,3815.550003051758,.0006849131741611,109,5570852.112350464
106020401,包,CONTAINER,1,711.489990234375,.0001277165460302,480,5570852.112350464
106020401,次,SERVICE,1,200,.0000359011504823,1,5570852.112350464
106020402,套,SET,1,214800,.7046737783039737,22,304821.9000244141
106020402,个,COUNT,7,88424.40002441406,.2900854565152041,193,304821.9000244141
106020402,盒,CONTAINER,1,1597.5,.0052407651808222,13,304821.9000244141
106020403,个,COUNT,62,3052813.080421448,.7218903371594975,936763.6000003815,4228915.284326553
106020403,套,SET,10,912878,.2158657572033567,28055,4228915.284326553
106020403,OTHER,OTHER,4,138521.1336917877,.0327557126067724,111.2400016784668,4228915.284326553
106020403,UNKNOWN,UNKNOWN,2,95047.59999847412,.0224756453151816,254,4228915.284326553
106020403,千克,MASS,1,14727.25,.003482512419812,2245.39990234375,4228915.284326553
106020403,桶,CONTAINER,2,6979.72021484375,.0016504752981722,1146,4228915.284326553
106020403,盒,CONTAINER,3,6049.5,.0014305086749836,39,4228915.284326553
106020403,包,CONTAINER,3,1899,.000449051322224,93,4228915.284326553
106020499,个,COUNT,142,62892660.0618453,.71423109178775,21877999,88056457.89575243
