product_id,product_name,class,v_prod,n_units,top1,top2,top3,unit1,share1,unit2,share2,unit3,share3,unit4,share4,unit5,share5
108042200,金属制烹饪炊具,C 前3个>=90%,3173874285.280018,20,0.7064567250880256,0.8796789117227726,0.9737500494438618,个,0.7064567250880256,套,0.17322218663474695,OTHER,0.0940711377210892,UNKNOWN,0.017111928371544745,千克,0.005353748013526268
109020309,建筑工程用机械零件,C 前3个>=90%,3151033645.57,23,0.744180322316367,0.8761655695683901,0.9430723168341316,个,0.744180322316367,千克,0.13198524725202307,套,0.0669067472657415,UNKNOWN,0.025765114505882668,OTHER,0.00802206302859944
109012303,轴承零配件,C 前3个>=90%,3102883597.509995,21,0.4995468454388264,0.8485393859160113,0.9178240643494915,个,0.4995468454388264,套,0.34899254047718486,OTHER,0.06928467843348017,千克,0.043097244733032315,批,0.018364817602480644
107060108,塑料人造革、合成革,C 前3个>=90%,3096188322.92,18,0.7622005092488607,0.8801395823203649,0.9686802814311546,千米,0.7622005092488607,个,0.11793907307150418,千克,0.08854069911078964,平方米,0.01143083776203314,套,0.008768563969130855
304040299,其他港口码头服务,C 前3个>=90%,3067957623.15,19,0.47624119674112064,0.8590730700914702,0.9383210284841839,瓦,0.47624119674112064,千克,0.38283187335034946,UNKNOWN,0.07924795839271373,次,0.015664720883809383,OTHER,0.014753346049652066
106010399,其他加工纸,C 前3个>=90%,3063690395.749999,23,0.6575799117249946,0.8459466593443231,0.9034053393121814,千克,0.6575799117249946,个,0.18836674761932845,平方米,0.057458679967858216,卷,0.02771784172049528,箱,0.0131784860004159
107050200,橡胶带、管,C 前3个>=90%,3014348457.980002,23,0.4168911737371337,0.811793941576955,0.9088980713218453,千米,0.4168911737371337,个,0.39490276783982126,千克,0.09710412974489034,平方米,0.030101348296276483,卷,0.02073338878740031
304010401,工程勘察服务,C 前3个>=90%,2972220376.4399986,18,0.7713933121561329,0.8714095651017029,0.9231465110895988,UNKNOWN,0.7713933121561329,项,0.1000162529455699,元,0.05173694598789596,次,0.03386800019538596,批,0.014372258870375305
107060299,其他塑料半成品、辅料,C 前3个>=90%,2895597205.67,22,0.45201083111874074,0.8708313356886745,0.9172510356893515,千克,0.45201083111874074,个,0.41882050456993386,套,0.04641970000067695,千米,0.018235510790867125,平方米,0.017234792533394747
106040806,塑胶玩具,C 前3个>=90%,2843961945.8700113,20,0.8215657626442817,0.8989320864832916,0.9413016646188169,个,0.8215657626442817,套,0.07736632383900988,箱,0.04236957813552529,盒,0.021682497404562132,千克,0.015409024707112941
109040204,电机及发电机组专用零件,C 前3个>=90%,2805864789.66,23,0.5644023995190078,0.8948321166481594,0.9747783876896737,个,0.5644023995190078,套,0.33042971712915153,千克,0.07994627104151435,UNKNOWN,0.008625313703349407,OTHER,0.006684152318783901
105010401,单板,C 前3个>=90%,2790437812.48,18,0.6999404608247289,0.8590773653040086,0.9427122442811485,立方米,0.6999404608247289,个,0.15913690447927967,平方米,0.08363487897713998,千克,0.027680230308144028,套,0.016434749276581017
107030709,诊断用生物制品,C 前3个>=90%,2784417567.5,19,0.45293338758178225,0.8586930934991668,0.919343939101907,盒,0.45293338758178225,个,0.40575970591738447,OTHER,0.06065084560274029,套,0.025147043581853143,千克,0.012630645496744447
304030401,会议服务,C 前3个>=90%,2738695275.499997,25,0.8161174184491703,0.8984524301743549,0.9404695905205317,UNKNOWN,0.8161174184491703,次,0.08233501172518462,项,0.04201716034617672,OTHER,0.03350299695290072,元,0.011953045051360642
109041306,电池零部件,C 前3个>=90%,2730979623.9000006,18,0.5472546178230749,0.8684268350721471,0.9404945423181411,千克,0.5472546178230749,个,0.32117221724907224,平方米,0.07206770724599398,套,0.0412966551720159,OTHER,0.008202089398240126
109042101,家用空调设备零件,C 前3个>=90%,2718983362.6099977,25,0.4197433630945313,0.7700799718281802,0.9338800555302307,个,0.4197433630945313,千克,0.3503366087336489,套,0.1638000837020504,批,0.02173608453538636,OTHER,0.019990439440506543
107022304,美容、修饰类化妆品,C 前3个>=90%,2670813154.5999894,16,0.6410778957977796,0.8433424479135216,0.917812309628647,个,0.6410778957977796,瓶,0.20226455211574207,盒,0.07446986171512542,套,0.03751874489513217,UNKNOWN,0.02376111571515181
109011401,输送机械（输送机和提升机）,C 前3个>=90%,2552318330.67,18,0.6807929537785627,0.8918709111541139,0.9312070727228179,个,0.6807929537785627,套,0.21107795737555113,千克,0.039336161568704,千米,0.03051675281803651,批,0.01061821680091362
103030705,茶饮料,C 前3个>=90%,2524295982.230001,16,0.601286828499854,0.8735930764948918,0.9018988184732466,箱,0.601286828499854,个,0.2723062479950378,瓶,0.02830574197835477,千克,0.027226966910308136,盒,0.023062448868840936
109051905,磁性材料元件,C 前3个>=90%,2523476087.2599993,19,0.578638926071802,0.8761630800277115,0.9371373167905689,个,0.578638926071802,千克,0.2975241539559095,副,0.060974236762857355,批,0.027189146263913392,OTHER,0.021729152206684015
103030302,每吨3000元（含）以上的啤酒,C 前3个>=90%,2523117871.080001,18,0.7817934226971581,0.8782878131141171,0.9064785438188836,箱,0.7817934226971581,个,0.09649439041695898,套,0.028190730704766468,OTHER,0.023969816199713483,瓶,0.01899007814862438
109031300,摩托车零部件及配件,C 前3个>=90%,2470599117.119999,21,0.7498063208487834,0.8619996188384292,0.9527594715098688,个,0.7498063208487834,千克,0.11219329798964585,套,0.09075985267143966,批,0.023155612893073562,副,0.012104673814852437
201020000,垃圾处理、污泥处理处置劳务,C 前3个>=90%,2453124589.7200003,27,0.7920896938266739,0.8673325594534328,0.9023090586005036,千克,0.7920896938266739,UNKNOWN,0.07524286562675889,个,0.03497649914707081,次,0.028713060317103443,项,0.02160997141040064
103030801,精制茶,C 前3个>=90%,2448711967.8999996,15,0.7736169540121923,0.8592533789772066,0.9142390733524703,千克,0.7736169540121923,盒,0.08563642496501417,个,0.054985694375263815,罐,0.019578127774298442,袋,0.013958510403864647
109011903,阀门、龙头零件,C 前3个>=90%,2351556041.980001,24,0.7772338989127714,0.8510062683749641,0.92075280460546,个,0.7772338989127714,千克,0.07377236946219268,套,0.06974653623049604,UNKNOWN,0.05464439535185563,批,0.008333622320775915
108012104,卫生陶瓷制品,C 前3个>=90%,2280783041.3,21,0.5705419622062322,0.8925190431395551,0.9292355239067344,个,0.5705419622062322,套,0.32197708093332283,UNKNOWN,0.036716480767179226,OTHER,0.029490991686636575,批,0.02361094830366056
103030901,酒及酒精专用原辅料,C 前3个>=90%,2258897338.44,17,0.5985910255106157,0.8269122721442415,0.9267504481260448,瓶,0.5985910255106157,千克,0.22832124663362577,箱,0.09983817598180338,盒,0.023534303080242472,批,0.015918470298801987
107050602,橡胶零附件,C 前3个>=90%,2251491263.510002,23,0.779051433748639,0.8884930786190969,0.9392734788333801,个,0.779051433748639,千克,0.10944164487045786,套,0.05078040021428317,批,0.019039321428754714,OTHER,0.014164125451805568
107022201,肥（香）皂,C 前3个>=90%,2182301694.5400014,19,0.5690532179473754,0.8826113466158496,0.9109651406557899,箱,0.5690532179473754,个,0.3135581286684742,套,0.028353794039940334,盒,0.027240534115302886,千克,0.019723103481836684
109020108,矿山设备专用配套件,C 前3个>=90%,2181056015.009997,23,0.7140378487266219,0.8526225880271459,0.9087940412483684,个,0.7140378487266219,套,0.13858473930052398,千克,0.0561714532212225,千米,0.03054141542517637,OTHER,0.021085138847197014
108041404,其他金属紧固件,C 前3个>=90%,2156902776.589999,25,0.785271074275204,0.8481225876634542,0.9092006277493759,个,0.785271074275204,千克,0.06285151338825008,OTHER,0.0610780400859218,套,0.04775535044877905,批,0.019489100814482616
109030400,铁路专用设备及器材、配件,C 前3个>=90%,2137108087.43,25,0.6228836666145469,0.8505534595893661,0.9093731660980653,个,0.6228836666145469,套,0.2276697929748193,OTHER,0.058819706508699166,千克,0.03216667813590484,千米,0.023193908582138368
105020104,金属家具,C 前3个>=90%,2079556715.629998,23,0.6211208115950293,0.7922894893928667,0.9123613294313121,个,0.6211208115950293,套,0.1711686777978374,千克,0.1200718400384454,批,0.02415222361693759,UNKNOWN,0.01800618216784544
109021105,塑料用模具,C 前3个>=90%,2077540169.6699998,25,0.5718649050760427,0.8793799411446257,0.9688631344007779,套,0.5718649050760427,副,0.307515036068583,个,0.08948319325615219,批,0.011223585974611401,UNKNOWN,0.008229490995938593
107030405,中成药注射剂,C 前3个>=90%,2077284026.1200006,10,0.5609650893655334,0.8871789806771174,0.9924962343165394,个,0.5609650893655334,盒,0.32621389131158407,瓶,0.10531725363942204,OTHER,0.006693128351816836,袋,0.0006742961542029804
105020106,软体家具,C 前3个>=90%,2068587419.4099991,21,0.5925611963450941,0.8844351707465263,0.9330836138752691,个,0.5925611963450941,套,0.2918739744014323,千米,0.04864844312874272,千克,0.026884175398234657,OTHER,0.0184920189164209
109051800,微电子组件,C 前3个>=90%,2054774731.080005,18,0.8462970690543775,0.8970448883957182,0.9363518897853782,个,0.8462970690543775,套,0.0507478193413407,批,0.03930700138965999,UNKNOWN,0.022810838259318178,OTHER,0.020234783366323728
108010801,沥青和改性沥青防水卷材,C 前3个>=90%,2026557835.5099988,16,0.5212543441397318,0.8981808922427952,0.9417615124167928,千克,0.5212543441397318,平方米,0.3769265481030634,卷,0.043580620173997615,OTHER,0.03517239927281035,立方米,0.009858840478131237
