product_id,v_prod,n_units,dom_unit,dom_share,千克,个,UNKNOWN,套,立方米,千瓦时,千米,OTHER,箱,项,盒,次,平方米,批,瓶,月,包,瓦,袋,桶,笔,份,元,副,卷,单,罐,期,票,车,令,伏安
109060607,4.94196e+08,23,个,0.4507,0.001103,0.450708,0.034505,0.438377,0.000374,,0.000418,0.006808,0.000749,0.013371,0.002013,0.005738,0.000050,0.014467,0.000563,0.001022,0.000288,,0.000168,0.000205,0.000008,0.000004,,0.028543,0.000046,,0.000472,,,,,
107020212,4.94149e+08,9,千克,0.9965,0.996458,0.000437,0.000005,,,,,0.001216,,,0.000001,,,0.000152,0.000828,,,,,0.000900,,,,,,,0.000003,,,,,
104020119,4.91711e+08,14,套,0.5712,0.005063,0.382759,0.003630,0.571192,,,0.000078,0.019435,,,0.000067,0.000161,,0.017307,0.000001,,0.000001,,0.000001,,,,0.000098,0.000208,,,,,,,,
107021602,4.91537e+08,15,千克,0.9938,0.993829,0.000756,0.000746,0.000066,0.000805,,0.000011,0.000177,0.000752,,0.000191,,,,0.000263,,0.000002,,0.000003,0.002318,,,,,0.000004,,0.000077,,,,,
109030106,4.90346e+08,13,个,0.6026,0.018725,0.602607,0.156897,0.218137,,,0.000537,0.002866,0.000002,0.000006,,,0.000025,0.000136,,,0.000037,,,0.000016,,,,0.000009,,,,,,,,
109010302,4.8992e+08,10,套,0.9697,0.000524,0.028872,0.000173,0.969731,,,0.000596,0.000000,,,,,,,0.000054,,0.000009,,,0.000020,,,,0.000020,,,,,,,,
107021808,4.89098e+08,11,千克,0.9535,0.953458,0.036995,0.001280,0.000000,,,0.004091,0.003733,,,,,0.000049,,,,0.000090,,0.000004,,,,,0.000244,0.000056,,,,,,,
107060115,4.89051e+08,18,个,0.6534,0.262589,0.653411,0.001634,0.016396,0.000816,,0.022022,0.002474,0.000015,0.000874,0.000045,0.000064,0.019951,0.011219,0.000032,0.000184,0.000006,,,,,,,0.006234,0.002035,,,,,,,
109051599,4.8858e+08,11,个,0.9526,0.002249,0.952556,0.001149,0.021139,,,0.010183,0.004206,,,,0.000054,0.000690,0.000354,0.000010,,,,,,,,,,0.007412,,,,,,,
104010104,4.8828e+08,20,个,0.4855,0.403306,0.485530,0.003452,0.006595,,0.001475,0.039154,0.022911,0.000830,,0.001954,0.000008,0.015572,0.002505,0.000031,,0.000087,,0.000010,0.000021,,0.000002,,0.000495,0.016059,0.000000,,,,,,
304040704,4.87906e+08,27,个,0.3756,0.025231,0.375621,0.333378,0.000658,0.000525,,0.000010,0.032378,0.000127,0.034472,0.000361,0.099799,0.034333,0.007326,0.000400,0.038638,0.000087,,0.001291,0.000039,0.002696,0.000004,0.000122,0.000001,,0.001314,0.000062,0.002574,0.008503,0.000050,,
106010104,4.87166e+08,17,千克,0.9707,0.970729,0.004280,0.017424,0.000285,0.000548,,0.000106,0.000046,0.000573,,0.000433,,0.000422,0.000528,0.001181,,0.000390,,0.000002,0.002658,,,,,0.000356,,0.000038,,,,,
109012401,4.845e+08,16,个,0.9104,0.009776,0.910417,0.005787,0.061300,0.001436,,0.002737,0.004923,0.000120,0.000223,,0.000015,,0.001901,,,0.000000,,,0.000772,,,,0.000552,0.000031,,0.000008,,,,,
105010901,4.84483e+08,20,立方米,0.5593,0.068533,0.209108,0.017138,0.013187,0.559324,,0.008376,0.006002,0.000189,0.002360,0.000247,0.000005,0.106496,0.007219,0.000010,,0.000928,,0.000026,0.000070,,,,0.000326,0.000455,,0.000001,,,,,
304080202,4.84354e+08,17,UNKNOWN,0.4328,0.004344,0.038113,0.432751,0.001847,,,,0.047395,0.000024,0.041334,,0.039655,,0.097515,,0.037450,,,,,0.003456,0.024321,0.020543,,,0.007920,,0.000039,0.198891,0.004404,,
108010401,4.84093e+08,17,平方米,0.5689,0.012717,0.352906,0.005055,0.001157,0.004319,,0.006476,0.041773,0.000137,0.000131,0.000074,,0.568932,0.005726,,,0.000147,,0.000181,0.000201,,,,0.000004,0.000063,,,,,,,
108041405,4.8339e+08,20,个,0.5075,0.166978,0.507462,0.002370,0.055587,0.000068,,0.010542,0.153109,0.045987,,0.028107,0.000053,0.000031,0.015280,0.000023,,0.005535,,0.002220,0.003008,,0.000002,,0.002920,0.000717,,0.000002,,,,,
104030303,4.82496e+08,17,个,0.8173,0.006127,0.817266,0.091379,0.029268,0.002524,,0.030849,0.004756,,0.000012,0.000000,,0.011037,0.006121,0.000037,,0.000032,,0.000000,0.000294,,,,0.000293,0.000004,,,,,,,
109050301,4.8237e+08,7,套,0.8748,,0.123492,0.000052,0.874839,,,0.000088,0.000472,,,,,,0.000698,,,,,,,,,,0.000360,,,,,,,,
103020105,4.79746e+08,17,箱,0.6331,0.020872,0.071894,0.028058,0.013761,,,0.000090,0.020752,0.633065,,0.085683,,0.000025,0.001908,0.001007,,0.037884,,0.065642,0.003968,,0.000189,0.000012,,,,0.015190,,,,,
109062002,4.79042e+08,13,个,0.4186,0.000242,0.418613,0.003066,0.031252,,,,0.036626,0.000001,,0.144967,,0.001662,0.030194,0.011519,,0.000001,,0.000000,,,,,0.321856,,,,,,,,
109042106,4.78563e+08,15,个,0.9862,0.001654,0.986204,0.000980,0.004768,,,0.002128,0.001110,,,0.001695,0.000028,0.000065,0.000962,,0.000371,0.000000,,,,,,,0.000006,0.000002,,0.000027,,,,,
109010403,4.77709e+08,12,个,0.4904,0.003653,0.490421,0.113648,0.342904,,,0.000141,0.048045,,,,0.000012,,0.001084,,,,,,0.000028,,,,0.000052,0.000007,,0.000006,,,,,
108010799,4.77414e+08,20,千克,0.6014,0.601395,0.028837,0.027385,0.001514,0.098769,,0.021805,0.021145,0.000303,0.000010,0.000003,,0.185737,0.008926,0.000005,,0.003634,,0.000150,0.000338,,,,0.000032,0.000000,,0.000004,,,0.000004,,
109052204,4.77194e+08,12,个,0.9251,0.007173,0.925101,0.011721,0.048019,,,0.000028,0.006876,,0.000020,0.000676,,,0.000340,0.000042,,0.000003,,,,,,,,0.000001,,,,,,,
108012803,4.75937e+08,19,个,0.6656,0.022354,0.665580,0.000811,0.012462,0.001438,,0.011839,0.052944,0.010663,,0.012617,,0.153411,0.006680,0.001789,,0.004868,,0.000515,0.001135,,,,0.000644,0.036851,,0.003365,,,,0.000036,
109012406,4.7551e+08,13,个,0.9399,0.013893,0.939921,0.001555,0.043170,0.000177,,0.000006,0.000277,,,,0.000047,,0.000360,0.000041,,,,,0.000049,,,,0.000498,,,,,,0.000007,,
109060506,4.74111e+08,21,套,0.5349,0.001584,0.436252,0.004956,0.534926,0.000003,,0.000123,0.002812,0.000319,,0.006928,0.000465,,0.001485,0.001420,0.000084,0.007249,,0.000038,0.000015,0.000026,0.001124,0.000004,,0.000132,,0.000054,,,,,
109012407,4.725e+08,14,套,0.5919,0.002444,0.394328,0.003374,0.591863,,,0.000364,0.001889,,0.000139,,0.000176,,0.001631,,,0.000013,,0.000068,0.000000,,,,0.003699,0.000010,,,,,,,
104030202,4.70561e+08,17,千米,0.5993,0.048677,0.088043,0.000475,0.009198,0.000800,,0.599311,0.026302,,0.000447,0.000004,,0.210532,0.014168,0.000001,,0.000002,,,0.000232,,,,0.000046,0.000006,,,,,0.001756,,
109022816,4.6935e+08,18,个,0.8688,0.002174,0.868790,0.002338,0.122635,0.000017,,0.001586,0.000765,0.000003,,0.000003,0.000002,0.000052,0.000780,0.000042,,0.000002,,,0.000100,0.000021,,,0.000657,0.000034,,,,,,,
109011213,4.69276e+08,13,个,0.8917,0.002532,0.891666,0.062430,0.036079,,0.000001,0.002582,0.000701,,0.000682,,0.000987,,0.001498,,0.000706,,,,0.000005,,,,0.000131,,,,,,,,
107029901,4.67282e+08,21,千克,0.2704,0.270430,0.185796,0.013066,0.012384,0.000022,,0.000001,0.006347,0.268229,0.000003,0.026103,0.000057,,0.000505,0.106263,,0.089819,,0.012665,0.002490,,0.000041,,,0.000032,0.000000,0.005726,,,0.000019,,
109025302,4.66802e+08,21,OTHER,0.3955,0.017593,0.365447,0.002278,0.193956,,,0.005462,0.395493,0.000473,0.002512,0.001278,0.000105,0.000011,0.003068,0.010507,0.000051,0.000364,,0.000016,0.000954,,,,0.000062,0.000172,0.000016,0.000181,,,,,
108010899,4.66261e+08,20,平方米,0.3723,0.231886,0.118731,0.039050,0.011832,0.023778,,0.051565,0.026750,0.000640,0.000066,0.000060,0.000008,0.372326,0.037299,0.000510,,0.013203,,0.004304,0.035777,,,,0.000314,0.031759,,0.000140,,,,,
109024611,4.6609e+08,18,个,0.8376,0.000287,0.837595,0.001946,0.130664,,,0.000002,0.008089,,0.000001,0.002000,,,0.000012,0.003847,,0.000399,,0.000363,0.010386,0.000223,0.002208,,0.001447,0.000041,,0.000490,,,,,
109013402,4.65858e+08,21,个,0.7937,0.012036,0.793708,0.033351,0.134996,0.000440,,0.005436,0.003095,0.000008,0.000004,0.000001,0.009736,0.000001,0.005158,0.000121,,0.000031,,0.000011,0.000779,,,,0.000105,0.000973,,0.000006,,,0.000004,,
104011005,4.65376e+08,19,千克,0.9190,0.918981,0.032135,0.007152,0.005372,0.000015,,0.018206,0.001112,0.000113,,0.000033,0.000002,0.010853,0.000323,0.003623,,0.000013,,0.000059,0.000633,,,,0.000007,0.001283,,0.000088,,,,,
304020104,4.65236e+08,12,UNKNOWN,0.7029,,0.055236,0.702931,0.012607,,,,0.008333,,0.127521,,0.056395,,0.013557,,0.022578,,,,,0.000366,0.000253,0.000110,,,0.000114,,,,,,
109024206,4.63689e+08,13,个,0.8092,,0.809238,0.001573,0.156655,,,,0.003249,0.000051,,0.014305,0.002157,0.000254,0.000409,0.000306,,0.000845,,0.010908,0.000052,,,,,,,,,,,,
104010902,4.62709e+08,21,个,0.3839,0.113318,0.383934,0.030059,0.052734,0.009087,,0.039301,0.038075,0.001253,0.000406,0.000537,,0.236840,0.057349,0.000003,,0.000239,,0.000001,0.000118,,0.000003,,0.001295,0.035193,,0.000004,,,0.000251,,
107021601,4.61904e+08,7,千克,0.9969,0.996908,0.000082,,,,,,0.000012,,,,,,,0.000581,,0.000002,,,0.002346,,,,,,,0.000070,,,,,
109025401,4.58335e+08,22,个,0.5186,0.015488,0.518602,0.014264,0.383454,0.000021,0.002118,0.026765,0.002797,,0.002579,0.001834,0.000924,0.007413,0.023166,0.000147,0.000070,0.000008,,0.000001,0.000033,,0.000001,0.000007,0.000096,0.000211,,,,,,,
108012006,4.58157e+08,18,千克,0.4597,0.459748,0.454252,0.000680,0.046799,0.007264,,0.004377,0.020696,0.000770,,0.000025,0.000003,0.003879,0.000308,0.000018,,0.000015,,0.000072,0.000159,,,,0.000373,0.000560,,,,,,,
103011199,4.56449e+08,15,盒,0.4694,0.192435,0.014429,0.042305,0.000604,,,,0.010445,0.085772,,0.469436,,,0.003900,0.022182,,0.035266,,0.107190,0.001740,,0.001033,,,,0.000000,0.013263,,,,,
107050902,4.56109e+08,19,个,0.6811,0.061377,0.681078,0.003393,0.161989,0.006323,,0.029456,0.022948,0.000002,0.000009,0.000781,,0.016464,0.002585,0.000092,,0.000042,,0.009635,0.000001,,,,0.001187,0.002622,,0.000016,,,,,
109030105,4.53812e+08,17,个,0.7577,0.012833,0.757695,0.005725,0.003788,,,0.000067,0.219527,0.000003,,0.000001,0.000003,0.000157,0.000030,0.000067,,0.000000,,0.000000,0.000005,,,,0.000070,0.000028,,,,,,,
107029903,4.52803e+08,18,箱,0.6703,0.040784,0.037981,0.001820,0.047103,0.002238,,0.000009,0.001999,0.670292,,0.027022,,,0.003815,0.114600,,0.022313,,0.007125,0.013985,,,,0.000009,0.000627,0.000000,0.008276,,,,,
107050300,4.52106e+08,21,千克,0.4118,0.411806,0.264977,0.003167,0.035451,0.084234,,0.046622,0.016956,0.008775,0.000026,0.000172,0.000002,0.104228,0.001395,0.000056,,0.000080,,0.000001,0.000708,,,,0.001228,0.019346,,0.000043,,,,0.000727,
109023212,4.5191e+08,18,个,0.8838,0.000226,0.883777,0.007048,0.098346,0.000032,,0.000023,0.004084,,0.000057,0.000018,0.003341,,0.002704,0.000209,0.000073,0.000002,,,0.000048,0.000007,,,0.000005,0.000001,,,,,,,
109020699,4.51588e+08,15,个,0.4810,0.073139,0.481049,0.024009,0.358065,,,0.000309,0.024919,0.000002,0.015496,0.000019,,0.000166,0.022000,0.000656,,,,,0.000023,,,,0.000127,0.000021,,,,,,,
102050506,4.50182e+08,5,千克,0.9834,0.983392,0.000007,0.016441,0.000001,,,,,,,,,,,0.000158,,,,,,,,,,,,,,,,,
