product_id,v_prod,n_units,dom_unit,dom_share,千克,个,UNKNOWN,套,千瓦时,千米,立方米,项,OTHER,平方米,盒,箱,次,瓶,批,月,伏安,桶,袋,份,笔,罐,瓦,副,卷,包,元,票,期,令,单,车
108030202,4.46587e+10,13,千克,0.9929,0.992948,0.002300,0.000775,0.000034,,0.000023,,,0.003715,0.000000,0.000000,0.000000,,0.000001,0.000006,,,,,,,,,0.000187,,0.000013,,,,,,
108020713,4.02863e+10,20,千克,0.9483,0.948257,0.021068,0.000511,0.002135,,0.023626,0.000000,0.000022,0.000532,0.000526,0.000000,0.000002,0.000010,0.000000,0.003264,,,0.000000,0.000000,,,,0.000005,0.000037,0.000005,0.000001,,,,,,
103010501,3.93462e+10,21,千克,0.6525,0.652535,0.008874,0.010515,0.000960,,0.000000,0.000169,,0.009934,,0.002468,0.226262,0.000000,0.041311,0.000278,0.000000,,0.045691,0.000145,0.000009,0.000000,0.000718,,,0.000000,0.000129,,0.000003,,,,
107020209,3.78312e+10,14,千克,0.9992,0.999200,0.000004,0.000280,0.000002,,,0.000098,,0.000026,,0.000000,0.000002,0.000000,0.000098,0.000012,,,0.000277,0.000000,,,,,,0.000002,,,,,,,
106010504,3.76689e+10,24,个,0.6777,0.008092,0.677675,0.002867,0.000310,0.000003,0.000005,,0.000000,0.012003,0.000001,0.000829,0.203719,0.000003,0.000031,0.000989,0.000000,,0.000015,0.064030,0.000136,,0.000143,,0.000003,0.000403,0.028742,,,,0.000001,0.000000,
109990000,3.72968e+10,29,个,0.6416,0.046762,0.641644,0.031405,0.193270,0.000120,0.009981,0.000713,0.002977,0.015588,0.002117,0.000378,0.000485,0.000986,0.000219,0.022343,0.000170,,0.000959,0.000020,0.000002,0.000172,0.000027,0.026343,0.002555,0.000542,0.000093,0.000029,,0.000081,,0.000001,0.000016
108020710,3.72527e+10,16,千克,0.9894,0.989359,0.007899,0.000226,0.000356,0.000052,0.001212,,,0.000483,0.000005,0.000005,0.000000,0.000000,,0.000020,,,,0.000000,,,,,0.000363,0.000021,0.000001,,,,,,
109040904,3.65427e+10,21,千米,0.8973,0.018346,0.017113,0.036978,0.003774,0.000014,0.897291,,0.000097,0.013106,0.000015,0.000000,0.003047,0.000001,0.000001,0.005372,0.000005,,0.000004,,,,,0.000228,0.000027,0.004557,0.000007,,,,,0.000015,
102030200,3.63631e+10,14,千克,0.9806,0.980625,0.000055,0.000436,0.000024,,0.000007,,,0.018848,,0.000000,0.000000,,0.000001,,,,0.000001,0.000000,,,,,0.000000,0.000000,0.000001,,,,,,
108031601,3.61946e+10,22,千克,0.8280,0.828049,0.069320,0.004112,0.003842,0.000008,0.007256,0.000010,0.000146,0.002422,0.083322,0.000010,0.000163,0.000000,0.000000,0.000791,,,0.000000,0.000000,,,,,0.000178,0.000361,0.000005,0.000000,,,,0.000004,
108020709,3.58067e+10,18,千克,0.9904,0.990385,0.005109,0.002373,0.000617,,0.000256,0.000042,0.000001,0.000508,0.000596,0.000000,0.000000,0.000000,,0.000106,,,0.000000,,,,,,0.000002,0.000001,0.000000,0.000005,,,,,
107060201,3.54718e+10,22,千克,0.9936,0.993557,0.003441,0.000851,0.000477,0.000003,0.000777,0.000083,0.000000,0.000468,0.000017,0.000051,0.000001,0.000000,0.000000,0.000187,,,0.000004,0.000000,0.000029,,0.000000,,0.000002,0.000034,0.000019,,,,,,
109051299,3.53618e+10,27,个,0.7259,0.001161,0.725918,0.011866,0.240004,,0.000490,0.000119,0.000379,0.001512,0.002830,0.000859,0.001025,0.000140,0.000906,0.003266,0.000046,,0.000008,0.000031,0.000003,0.000077,0.000000,,0.000074,0.009102,0.000136,0.000003,,0.000031,0.000015,0.000000,
107029999,3.44337e+10,23,千克,0.9104,0.910446,0.016514,0.005642,0.001256,,0.000606,0.011740,0.000000,0.005337,0.016176,0.000826,0.001150,0.000001,0.005945,0.000515,0.000000,,0.002867,0.000210,0.000024,,0.000111,,0.000002,0.017910,0.002722,,,,0.000000,,
305020000,3.37848e+10,28,项,0.4411,0.007378,0.013481,0.411981,0.008353,0.000000,0.000901,0.000434,0.441065,0.018699,0.008405,0.000000,0.000005,0.020166,0.000001,0.047750,0.003095,,0.000001,0.000000,0.000136,0.012125,,0.001296,0.000005,0.000000,0.000000,0.004513,,0.000192,,0.000017,0.000000
306020000,3.33387e+10,15,UNKNOWN,0.8521,0.000008,0.000455,0.852109,0.000000,,,,0.000737,0.001038,,,0.000000,0.005046,,0.006453,0.000370,,,,0.000020,0.130553,,,,,0.000000,0.003206,,,,0.000004,
108040101,3.32555e+10,27,千克,0.6059,0.605920,0.187163,0.039369,0.068271,0.000014,0.024610,0.000133,0.004151,0.011142,0.014566,0.000142,0.000055,0.000039,0.000006,0.039187,0.000015,,0.000009,0.000001,,0.000008,0.001239,0.002104,0.001808,0.000038,0.000005,0.000004,0.000000,,,,0.000001
104010105,3.28728e+10,21,千米,0.7853,0.143509,0.018884,0.003448,0.002793,0.000001,0.785266,0.000002,0.000004,0.023295,0.019499,0.000070,0.000234,0.000003,0.000004,0.000687,,,0.000015,0.000056,,,,,0.000502,0.000926,0.000802,0.000000,,,,,
108020900,3.13593e+10,12,千克,0.9974,0.997443,0.001163,0.000492,0.000107,0.000024,0.000007,,,0.000493,0.000000,0.000000,,,,0.000270,,,0.000002,,,,,,,,0.000000,,,,,,
304990000,3.09517e+10,29,UNKNOWN,0.5408,0.017076,0.218388,0.540799,0.004374,0.000134,0.000173,0.000402,0.047023,0.011611,0.000836,0.000028,0.000038,0.092961,0.000001,0.013003,0.016159,0.000018,0.000000,0.000001,0.006492,0.021337,,,0.000000,0.000397,0.000032,0.003455,0.000454,0.004250,,0.000472,0.000085
109041801,3.09332e+10,13,个,0.9806,0.000061,0.980600,0.017747,0.000033,,0.000000,,,0.001498,,0.000000,0.000005,,0.000001,0.000054,,,,0.000000,0.000000,,,,0.000000,,,,,,,,
107010111,3.07699e+10,14,千克,0.9834,0.983425,0.000027,0.005186,0.000002,,0.000000,0.005390,,0.002908,,,0.000013,,0.002981,,0.000000,,0.000063,0.000000,,,0.000006,,,,0.000000,,,,,,
109041401,3.01768e+10,16,个,0.9973,0.000001,0.997334,0.000727,0.000086,,0.000000,0.000002,0.000013,0.001682,0.000000,0.000000,0.000010,,0.000000,0.000144,,,0.000000,,0.000000,,,,0.000000,,,,,,,,
