product_id,v_prod,n_units,dom_unit,dom_share,千克,个,UNKNOWN,套,千瓦时,千米,立方米,项,OTHER,平方米,盒,箱,次,瓶,批,月,伏安,桶,袋,份,笔,罐,瓦,副,卷,包,元,票,期,令,单,车
108030602,5.28512e+10,19,千克,0.9869,5.21583e+10,3.96358e+08,7.82629e+07,3.76327e+07,,3.10242e+07,9408,3500,2.39772e+07,1.03738e+08,200,101861,499.99,360,1.62513e+07,,,3840,,,,,,1.31966e+06,40759,15468.6,4.12467e+06,,,,,
107010301,5.05147e+10,10,千克,0.9989,5.04596e+10,208869,5.36568e+07,40664,,25304,,,96370,,,956210,,76682.4,,,,1128,,,,,,,,3717.95,,,,,,
109041302,4.95522e+10,22,个,0.9099,1.82375e+09,4.50898e+10,1.33825e+09,1.00159e+09,,18180,331,203498,2.75472e+08,,41422.1,160507,153079,126473,1.54375e+07,65264.2,,365418,120,1330,,8160,,16241,319394,6.47485e+06,8000,,,,,
108030202,4.46587e+10,13,千克,0.9929,4.43438e+10,1.02693e+08,3.45906e+07,1.51544e+06,,1.00555e+06,,,1.65908e+08,7150,75.38,2037,,33534.8,287327,,,,,,,,,8.3444e+06,,564685,,,,,,
108020713,4.02863e+10,20,千克,0.9483,3.82018e+10,8.48736e+08,2.05989e+07,8.59913e+07,,9.51808e+08,4500,877542,2.14393e+07,2.1184e+07,14610.6,77097.9,384208,10466.8,1.31475e+08,,,13704.6,800,,,,187600,1.47957e+06,213123,38415.2,,,,,,
103010501,3.93462e+10,21,千克,0.6525,2.56748e+10,3.49151e+08,4.1372e+08,3.77698e+07,,2037.5,6.6373e+06,,3.90875e+08,,9.70945e+07,8.90255e+09,5802,1.62543e+09,1.094e+07,2073.51,,1.79778e+09,5.69828e+06,357968,748.8,2.8236e+07,,,16132.5,5.05791e+06,,121416,,,,
107020209,3.78312e+10,14,千克,0.9992,3.7801e+10,155979,1.05807e+07,63670,,,3.69081e+06,,984906,,4498.78,59366,4380,3.72476e+06,438480,,,1.0472e+07,760,,,,,,88189,,,,,,,
106010504,3.76689e+10,24,个,0.6777,3.04835e+08,2.55273e+10,1.07991e+08,1.1692e+07,107600,193616,,2000,4.52144e+08,52366.9,3.12151e+07,7.67388e+09,98209,1.15115e+06,3.72554e+07,1434.79,,547452,2.41195e+09,5.12669e+06,,5.37463e+06,,116371,1.51818e+07,1.08266e+09,,,,30277,9733,
109990000,3.72968e+10,29,个,0.6416,1.74407e+09,2.39313e+10,1.1713e+09,7.20833e+09,4.46631e+06,3.72262e+08,2.65954e+07,1.11035e+08,5.8139e+08,7.89755e+07,1.4103e+07,1.80739e+07,3.67717e+07,8.16003e+06,8.33333e+08,6.34237e+06,,3.57696e+07,733981,69418.5,6.43329e+06,1.02271e+06,9.82499e+08,9.5295e+07,2.0224e+07,3.47727e+06,1.09653e+06,,3.03873e+06,,20608,608107
108020710,3.72527e+10,16,千克,0.9894,3.68563e+10,2.94259e+08,8.40927e+06,1.32586e+07,1.91941e+06,4.51422e+07,,,1.79995e+07,186472,195080,16021,4250,,727832,,,,1040,,,,,1.35049e+07,776744,22335.7,,,,,,
109040904,3.65427e+10,21,千米,0.8973,6.70417e+08,6.25371e+08,1.35128e+09,1.37914e+08,522529,3.27894e+10,,3.54745e+06,4.78946e+08,556374,12026,1.11347e+08,27562,23935,1.96305e+08,193576,,155267,,,,,8.33779e+06,987466,1.66529e+08,270245,,,,,543682,
102030200,3.63631e+10,14,千克,0.9806,3.56586e+10,2.01148e+06,1.58564e+07,889410,,266375,,,6.85371e+08,,10780,1600,,36527.4,,,,33305,8280,,,,,10456,2080,41867,,,,,,
108031601,3.61946e+10,22,千克,0.8280,2.99709e+10,2.509e+09,1.4884e+08,1.39059e+08,306840,2.62624e+08,374735,5.28317e+06,8.767e+07,3.01582e+09,356486,5.88508e+06,11702.8,4464,2.86373e+07,,,2577.52,1139,,,,,6.4449e+06,1.30524e+07,192518,3000,,,,144960,
108020709,3.58067e+10,18,千克,0.9904,3.54624e+10,1.82937e+08,8.49635e+07,2.20916e+07,,9.14925e+06,1.51022e+06,25663.7,1.8187e+07,2.1343e+07,283.36,3418.8,740,,3.79269e+06,,,4110,,,,,,74528.3,23722,875,187118,,,,,
107060201,3.54718e+10,22,千克,0.9936,3.52433e+10,1.22042e+08,3.01963e+07,1.69062e+07,91100,2.75641e+07,2.93235e+06,4000,1.65937e+07,591368,1.82182e+06,19385,9993.2,4281.6,6.62553e+06,,,124501,2220,1.03305e+06,,6783,,73573.5,1.2045e+06,690433,,,,,,
109051299,3.53618e+10,27,个,0.7259,4.10714e+07,2.56697e+10,4.19586e+08,8.48697e+09,,1.73112e+07,4.20312e+06,1.33912e+07,5.34498e+07,1.00065e+08,3.03624e+07,3.62542e+07,4.96746e+06,3.20308e+07,1.15497e+08,1.61106e+06,,293052,1.09242e+06,102252,2.73217e+06,346.9,,2.6187e+06,3.21876e+08,4.8027e+06,97870,,1.11304e+06,536606,1160,
107029999,3.44337e+10,23,千克,0.9104,3.135e+10,5.68622e+08,1.94281e+08,4.32387e+07,,2.08831e+07,4.04255e+08,10088,1.83772e+08,5.56988e+08,2.84366e+07,3.96089e+07,23796.8,2.04716e+08,1.77419e+07,4816,,9.87174e+07,7.22442e+06,812197,,3.82725e+06,,54781,6.16697e+08,9.37444e+07,,,,7140,,
305020000,3.37848e+10,28,项,0.4411,2.49255e+08,4.55458e+08,1.39187e+10,2.82198e+08,5000,3.0435e+07,1.46561e+07,1.49013e+10,6.31739e+08,2.83972e+08,590,179081,6.81291e+08,42421,1.61323e+09,1.0456e+08,,40746.1,8364.32,4.57967e+06,4.09655e+08,,4.38009e+07,155903,6022.5,669,1.52468e+08,,6.47454e+06,,585323,13320
306020000,3.33387e+10,15,UNKNOWN,0.8521,264036,1.51532e+07,2.84083e+10,12685,,,,2.45676e+07,3.45943e+07,,,122.87,1.6823e+08,,2.15122e+08,1.23477e+07,,,,669023,4.35249e+09,,,,,950,1.06891e+08,,,,144803,
108040101,3.32555e+10,27,千克,0.6059,2.01502e+10,6.22418e+09,1.30924e+09,2.2704e+09,475612,8.18416e+08,4.42191e+06,1.38049e+08,3.7053e+08,4.84386e+08,4.73794e+06,1.83143e+06,1.3025e+06,200807,1.30319e+09,515370,,291138,16901.2,,263255,4.11988e+07,6.99653e+07,6.01233e+07,1.26547e+06,153477,134400,25.74,,,,18900
104010105,3.28728e+10,21,千米,0.7853,4.71754e+09,6.20762e+08,1.13352e+08,9.18216e+07,42575,2.58139e+10,80860.5,116409,7.65763e+08,6.40993e+08,2.3144e+06,7.70497e+06,98054,120493,2.25731e+07,,,478136,1.83096e+06,,,,,1.65078e+07,3.04526e+07,2.63631e+07,2000,,,,,
108020900,3.13593e+10,12,千克,0.9974,3.12791e+10,3.64603e+07,1.54433e+07,3.3445e+06,738322,206800,,,1.54737e+07,8085,100,,,,8.45378e+06,,,52702.6,,,,,,,,285,,,,,,
304990000,3.09517e+10,29,UNKNOWN,0.5408,5.28536e+08,6.75948e+09,1.67386e+10,1.35377e+08,4.15907e+06,5.35804e+06,1.2454e+07,1.45542e+09,3.59376e+08,2.58638e+07,863200,1.18041e+06,2.87731e+09,37316.8,4.02475e+08,5.00139e+08,542400,8671.5,43301.1,2.00937e+08,6.60414e+08,,,2440,1.22832e+07,976499,1.06945e+08,1.40648e+07,1.31558e+08,,1.45975e+07,2.62381e+06
