product_id,value,n_units_raw,n_units_std,n_dims,n_units_phys,dom_unit,dom_dim,dom_share
106041003,10863876.021754742,25,12,9,2,个,COUNT,0.743
109050202,10857303.15550995,19,9,7,2,个,COUNT,0.9514
109021602,10846830.557258606,18,9,7,2,个,COUNT,0.6922
102050406,10844545.752990728,21,8,8,4,千克,MASS,0.9396
109060902,10802722.488609314,17,5,5,1,套,SET,0.589
109062502,10800939.47669983,16,9,6,2,个,COUNT,0.8822
109031500,10530058.064483643,15,7,6,2,个,COUNT,0.9039
304070301,10459908.668945312,6,5,5,1,UNKNOWN,UNKNOWN,0.9489
101010799,10367988.348465443,18,11,6,2,千克,MASS,0.6611
109042306,10249004.741265297,21,8,8,2,个,COUNT,0.9294
104011301,10210258.281036379,23,11,7,3,个,COUNT,0.6934
107020219,10190990.232912067,7,3,3,2,千克,MASS,0.9992
108010705,10180192.283904076,33,14,9,5,平方米,AREA,0.6923
109020802,9953554.17388916,16,6,5,3,个,COUNT,0.7598
306010200,9939802.921875,3,3,3,0,UNKNOWN,UNKNOWN,0.9645
109021801,9911327.43941331,10,7,6,3,个,COUNT,0.9719
109022817,9907934.534269333,12,4,4,2,个,COUNT,0.811
109023208,9875809.851198196,27,8,8,4,个,COUNT,0.9494
109022602,9811203.461759448,25,11,6,2,个,COUNT,0.8858
106051108,9799510.947265625,3,1,1,1,个,COUNT,1.0
109061003,9789524.935548782,12,5,5,2,套,SET,0.7703
109041304,9687414.66658783,12,4,4,1,个,COUNT,0.5964
303020500,9662187.03125,7,4,4,1,个,COUNT,0.869
103011103,9610956.300384998,25,11,5,2,箱,CONTAINER,0.3257
103010908,9539358.523872375,20,12,5,2,瓶,CONTAINER,0.4379
304040600,9490218.063232422,6,6,6,1,批,BATCH,0.5105
109023004,9439284.617715597,24,9,8,4,OTHER,OTHER,0.56
109024605,9413973.454833984,8,5,3,1,套,SET,0.5816
109024603,9382602.25012207,7,4,4,1,个,COUNT,0.9612
109061502,9294562.53100586,9,3,3,1,个,COUNT,0.9686
102050512,9172213.367919922,3,3,3,2,千克,MASS,0.9726
102050503,9157278.273384094,12,6,6,3,千克,MASS,0.8491
106051302,8996398.29706955,8,5,5,2,个,COUNT,0.6705
103011105,8941201.707354546,27,12,6,2,盒,CONTAINER,0.2639
109013599,8778496.863933563,18,9,8,3,个,COUNT,0.661
108010803,8775481.585983276,17,8,7,4,平方米,AREA,0.8643
109020205,8772127.96736908,11,5,5,1,个,COUNT,0.9258
107020239,8658580.854686737,6,2,2,1,千克,MASS,0.9998
109020810,8569982.191062927,18,6,5,2,个,COUNT,0.9445
109024803,8463845.491168976,22,10,8,3,个,COUNT,0.5197
103011402,8431095.989524841,18,9,6,2,个,COUNT,0.4065
109010708,8398170.40107727,15,7,5,3,个,COUNT,0.9701
109011210,8362449.522968292,21,10,8,2,个,COUNT,0.585
109022702,8349932.625412941,41,14,8,3,个,COUNT,0.53
