product_id,n_obs,n_firms,n_cities,mean_price,median_price,min_price,max_price,std_price,mean_lnp,std_lnp,min_lnp,max_lnp,mkt_price,range_price,range_lnp,cv_price
107010107,106,106,66,742.4495,112.6426,10.464,18020.1451,2249.882,4.9224,1.6406,2.3479,9.7992,74.7259,18009.6811,7.4513,3.0304
110030101,105,105,61,16.4591,3.3,0.7326,1332.1689,129.6537,1.2544,0.7869,-0.3112,7.1946,2.829,1331.4363,7.5057,7.8773
103020303,105,105,61,28.6366,11.2195,2.4862,814.4746,84.3425,2.5386,1.0145,0.9108,6.7025,14.2811,811.9884,5.7918,2.9453
109041601,103,103,55,8511.7832,204.29,9.9,684612.21,67630.6033,5.6892,1.6609,2.2925,13.4366,133.0553,684602.31,11.1441,7.9455
104020199,103,103,61,157.0685,69.3671,0.1062,1345.3,218.3623,4.1652,1.604,-2.2425,7.2044,43.1077,1345.1938,9.4469,1.3902
109011901,102,102,58,718.1377,164.3167,0.8852,13875.0,1954.6366,4.9959,1.8587,-0.122,9.5378,57.262,13874.1148,9.6598,2.7218
108020707,102,102,64,1943.2476,302.7007,2.8205,16420.0,2611.7763,5.7191,2.5006,1.0369,9.7063,175.3857,16417.1795,8.6694,1.344
103030705,102,102,62,64.2769,11.7698,2.2288,2529.6,274.3957,2.6129,1.3464,0.8014,7.8358,15.8953,2527.3712,7.0344,4.269
101011501,102,102,59,2540.6883,11.9574,0.0327,256024.49,25347.3881,2.6578,1.4341,-3.4195,12.453,11.8132,256024.4573,15.8726,9.9766
103030500,101,101,54,222.0759,64.6112,6.18,6760.0,732.1943,4.4736,1.0545,1.8213,8.8188,78.6307,6753.82,6.9975,3.297
103030703,101,101,61,28.2729,7.5569,2.1281,794.325,85.4388,2.3548,1.1186,0.7552,6.6775,9.467,792.1969,5.9223,3.0219
103030701,101,101,58,36.9934,14.3527,2.3311,1191.2772,126.6316,2.6721,1.1053,0.8463,7.0828,18.9856,1188.9462,6.2364,3.4231
109011701,101,101,58,4549.4769,1489.3045,0.0626,89886.11,11029.2762,6.8717,2.1836,-2.7702,11.4063,409.5807,89886.0474,14.1765,2.4243
103020401,100,100,53,39.6324,11.1832,1.614,707.6915,91.9989,2.7107,1.179,0.4787,6.562,11.2793,706.0775,6.0833,2.3213
103020602,99,99,64,29.5042,11.0914,4.7053,859.0134,91.9056,2.6243,0.899,1.5487,6.7558,15.565,854.3081,5.2071,3.115
106040199,99,99,54,93.4147,8.4708,0.693,5774.9385,584.5721,2.5051,1.439,-0.3667,8.6613,5.1229,5774.2455,9.028,6.2578
109040999,98,98,51,488.1787,27.4026,0.2825,16007.5,1957.1923,3.5915,2.0962,-1.264,9.6808,15.3786,16007.2175,10.9448,4.0092
108042400,98,98,53,53.0018,16.9243,0.7839,1379.1562,144.773,2.9805,1.332,-0.2435,7.2292,2.7703,1378.3724,7.4727,2.7315
109051103,97,97,53,5286.3075,1442.4098,19.0,163331.68,18333.6231,7.198,1.5897,2.9444,12.0035,263.3867,163312.68,9.0591,3.4681
109041704,97,97,56,796.8894,344.7998,3.9796,11600.0,1385.5185,6.043,1.1057,1.3812,9.3588,447.3486,11596.0204,7.9776,1.7387
108041600,96,96,54,129.0039,21.396,0.6026,2579.412,384.0218,3.35,1.5197,-0.5065,7.8553,8.8589,2578.8094,8.3618,2.9768
103020301,94,94,57,23.0494,8.323,2.0521,465.5963,63.1759,2.3767,0.913,0.7189,6.1433,11.5331,463.5442,5.4245,2.7409
103030799,94,94,51,26.0513,8.7309,2.4334,319.2908,54.3635,2.4743,1.0765,0.8893,5.7661,16.4328,316.8574,4.8768,2.0868
108040702,93,93,55,193.8099,25.6113,0.8274,4199.686,606.3948,3.6244,1.5696,-0.1894,8.3428,18.2184,4198.8586,8.5322,3.1288
104010507,92,92,50,319.4621,95.5415,11.4632,12351.0225,1377.4195,4.6444,1.0484,2.4391,9.4215,54.3674,12339.5593,6.9823,4.3117
108011501,92,92,48,328.2239,54.191,5.0,10541.0,1499.4339,4.2683,1.2047,1.6094,9.263,42.3527,10536.0,7.6536,4.5683
109050501,92,92,54,5428.4908,1918.3665,1.6729,93814.0104,13659.2121,7.3234,1.8262,0.5146,11.4491,1001.1729,93812.3375,10.9345,2.5162
109041801,91,91,54,1950.1367,1329.5987,1.5486,24344.1508,2709.7826,7.0672,1.3104,0.4373,10.1,942.1515,24342.6022,9.6627,1.3895
107050200,91,91,56,422.1167,29.3333,0.091,26153.9984,2758.7228,3.2009,2.234,-2.3963,10.1718,10.5045,26153.9074,12.5681,6.5355
107060103,91,91,55,51.4815,11.91,0.1522,2129.0,225.0761,2.4531,1.608,-1.8823,7.6634,5.526,2128.8478,9.5457,4.372
109040702,91,91,51,2730.5339,40.1445,0.39,233500.0,24462.1936,3.823,2.0779,-0.9416,12.3609,45.544,233499.61,13.3025,8.9588
105010801,90,90,51,160.5361,11.6707,0.07,4445.8133,612.3928,2.8452,1.8143,-2.6593,8.3997,17.7056,4445.7433,11.059,3.8147
109041301,90,90,53,1010.4145,8.1443,0.6165,81484.0885,8612.9978,2.315,1.6845,-0.4837,11.3082,15.8848,81483.472,11.7919,8.5242
109051003,90,90,48,1282.1878,188.5733,2.3082,42236.241,4693.6244,5.5898,1.7246,0.8365,10.651,134.7447,42233.9328,9.8146,3.6606
103011107,90,90,53,23.5504,13.042,0.5678,162.223,26.7763,2.7286,0.915,-0.566,5.089,19.7223,161.6553,5.655,1.137
106040102,90,90,52,11.2383,4.8519,0.4082,214.7568,25.8783,1.7513,0.9425,-0.896,5.3695,3.6099,214.3486,6.2655,2.3027
103020202,89,89,48,60.2048,23.3786,5.0,1092.1049,136.0785,3.3281,1.0491,1.6094,6.9959,36.2615,1087.1049,5.3864,2.2603
103020104,89,89,54,36.3348,10.3325,2.4,806.7048,96.1816,2.6398,1.1588,0.8755,6.693,18.5454,804.3048,5.8175,2.6471
109041901,89,89,50,421.4021,125.0295,0.4493,7240.4636,1146.5062,4.9991,1.306,-0.8,8.8874,100.8597,7240.0143,9.6874,2.7207
106010302,89,89,54,146.5145,21.1827,0.0266,5713.9692,615.2286,3.1048,2.0237,-3.625,8.6507,6.8995,5713.9425,12.2757,4.1991
107050801,89,89,51,12.0993,6.7012,0.0468,111.0,19.2626,1.8522,1.1948,-3.0619,4.7095,2.1901,110.9532,7.7714,1.592
105020104,88,88,50,758.2319,201.4286,7.6336,11944.8632,1647.8499,5.3573,1.6309,2.0326,9.3881,82.3623,11937.2296,7.3555,2.1733
109041501,88,88,50,8440.8638,3098.0328,13.2005,79307.6887,16850.0363,8.1415,1.2344,2.5803,11.2811,1617.2364,79294.4882,8.7008,1.9962
304050202,87,87,50,211316.8719,61246.7311,8.6043,4502160.0,563050.7902,10.0058,3.009,2.1523,15.3201,320.5343,4502151.3957,13.1678,2.6645
103020603,87,87,54,26.2172,6.6808,2.0038,516.7403,76.2357,2.2427,1.0798,0.6951,6.2475,22.9182,514.7365,5.5525,2.9078
103020899,87,87,53,173.6612,61.082,2.23,2202.4093,374.1563,4.1848,1.2545,0.802,7.6973,30.3514,2200.1793,6.8953,2.1545
104030302,86,86,43,748.803,79.0708,1.5,47200.0,5088.225,4.3372,1.5338,0.4055,10.7621,65.1592,47198.5,10.3567,6.7951
109041805,85,85,45,1864.1931,698.85,17.6019,23167.2098,3503.4018,6.5615,1.4069,2.868,10.0505,384.566,23149.6078,7.1825,1.8793
103010602,84,84,55,209.5493,7.3321,3.7996,6500.0,989.9717,2.5219,1.4928,1.3349,8.7796,252.9527,6496.2004,7.4447,4.7243
105020101,84,84,45,738.0799,274.8215,7.4538,13724.9786,1603.3773,5.5119,1.5935,2.0087,9.527,192.5933,13717.5248,7.5182,2.1724
107029901,84,84,50,126.6774,8.672,0.55,8665.621,946.6781,2.3737,1.2278,-0.5978,9.0671,16.5075,8665.071,9.665,7.4731
109040904,84,84,52,4543.7318,41.8358,1.2998,342205.3232,37325.3857,4.1768,2.1716,0.2622,12.7432,23.0258,342204.0233,12.4809,8.2147
103020206,83,83,48,30.3919,9.7484,2.4861,514.2405,75.4995,2.53,0.9971,0.9107,6.2427,12.7872,511.7543,5.332,2.4842
106020201,82,82,46,54.6729,3.8093,0.1325,3779.9103,416.7399,1.5466,1.3367,-2.0208,8.2375,2.7585,3779.7777,10.2583,7.6224
109041302,82,82,47,3447.5442,241.1866,3.6862,232654.8851,25689.4872,5.0855,2.0533,1.3046,12.3573,104.3438,232651.1989,11.0527,7.4515
103030707,82,82,48,52.699,15.5006,2.4391,510.85,85.5213,3.1453,1.2232,0.8916,6.2361,30.8519,508.4109,5.3444,1.6228
103030706,82,82,42,43.3577,17.4995,3.8857,334.4191,72.4275,3.0668,1.0466,1.3573,5.8124,22.3458,330.5334,4.4551,1.6705
109012303,81,81,55,816.5358,88.6312,0.1942,25600.0,3051.6385,4.1435,2.4839,-1.6388,10.1503,12.8627,25599.8058,11.7891,3.7373
109040806,81,81,48,3569.8771,124.7598,0.3519,73427.6667,12592.3582,4.8515,2.6759,-1.0444,11.2041,12.3262,73427.3148,12.2484,3.5274
